| forward | red | None | None | None |  |
| forward | red | None | None | forward |  |
| forward | red | None | None | left |  |
| forward | red | None | None | right |  |
| forward | red | None | forward | None |  |
| forward | red | None | forward | forward |  |
| forward | red | None | forward | left |  |
| forward | red | None | forward | right |  |
| forward | red | None | left | None |  |
| forward | red | None | left | forward |  |
| forward | red | None | left | left |  |
| forward | red | None | left | right |  |
| forward | red | None | right | None |  |
| forward | red | None | right | forward |  |
| forward | red | None | right | left |  |
| forward | red | None | right | right |  |
| forward | red | forward | None | None |  |
| forward | red | forward | None | forward |  |
| forward | red | forward | None | left |  |
| forward | red | forward | None | right |  |
| forward | red | forward | forward | None |  |
| forward | red | forward | forward | forward |  |
| forward | red | forward | forward | left |  |
| forward | red | forward | forward | right |  |
| forward | red | forward | left | None |  |
| forward | red | forward | left | forward |  |
| forward | red | forward | left | left |  |
| forward | red | forward | left | right |  |
| forward | red | forward | right | None |  |
| forward | red | forward | right | forward |  |
| forward | red | forward | right | left |  |
| forward | red | forward | right | right |  |
| forward | red | left | None | None |  |
| forward | red | left | None | forward |  |
| forward | red | left | None | left |  |
| forward | red | left | None | right |  |
| forward | red | left | forward | None |  |
| forward | red | left | forward | forward |  |
| forward | red | left | forward | left |  |
| forward | red | left | forward | right |  |
| forward | red | left | left | None |  |
| forward | red | left | left | forward |  |
| forward | red | left | left | left |  |
| forward | red | left | left | right |  |
| forward | red | left | right | None |  |
| forward | red | left | right | forward |  |
| forward | red | left | right | left |  |
| forward | red | left | right | right |  |
| forward | red | right | None | None |  |
| forward | red | right | None | forward |  |
| forward | red | right | None | left |  |
| forward | red | right | None | right |  |
| forward | red | right | forward | None |  |
| forward | red | right | forward | forward |  |
| forward | red | right | forward | left |  |
| forward | red | right | forward | right |  |
| forward | red | right | left | None |  |
| forward | red | right | left | forward |  |
| forward | red | right | left | left |  |
| forward | red | right | left | right |  |
| forward | red | right | right | None |  |
| forward | red | right | right | forward |  |
| forward | red | right | right | left |  |
| forward | red | right | right | right |  |
| left | red | None | None | None |  |
| left | red | None | None | forward |  |
| left | red | None | None | left |  |
| left | red | None | None | right |  |
| left | red | None | forward | None |  |
| left | red | None | forward | forward |  |
| left | red | None | forward | left |  |
| left | red | None | forward | right |  |
| left | red | None | left | None |  |
| left | red | None | left | forward |  |
| left | red | None | left | left |  |
| left | red | None | left | right |  |
| left | red | None | right | None |  |
| left | red | None | right | forward |  |
| left | red | None | right | left |  |
| left | red | None | right | right |  |
| left | red | forward | None | None |  |
| left | red | forward | None | forward |  |
| left | red | forward | None | left |  |
| left | red | forward | None | right |  |
| left | red | forward | forward | None |  |
| left | red | forward | forward | forward |  |
| left | red | forward | forward | left |  |
| left | red | forward | forward | right |  |
| left | red | forward | left | None |  |
| left | red | forward | left | forward |  |
| left | red | forward | left | left |  |
| left | red | forward | left | right |  |
| left | red | forward | right | None |  |
| left | red | forward | right | forward |  |
| left | red | forward | right | left |  |
| left | red | forward | right | right |  |
| left | red | left | None | None |  |
| left | red | left | None | forward |  |
