trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-102.97533908497883,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-105.16116771089196,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-40.05832233515327,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-81.10462286796891,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-37.883296814302824,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-62.84234897781197,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-121.93997992210289,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-94.76029067813052,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,1,-89.98135470462306,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-34.474277224234186,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-49.57613612996809,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-42.683047705200934,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-148.76063526670208,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-6.728220154382218,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-19.49635860298537,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-40.34148083826214,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,6,1.8510175538569376,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-44.799792363123224,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-8.95318532115122,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-110.20463722299883,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,0,2.745419222814898,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,2,21.113469047819198,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,1.3889883844712985,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,14.098638254641678,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,24.333674580168463,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-79.71581724989187,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-80.74047428297995,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",30,0,-148.15544256528224,"{0: 24, 1: 0, 2: 0, 3: 3, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-101.28870812445366,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,15.84231997146236,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
