trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",20,0,-96.4027769632576,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.9, 'e': 0.99}",20,0,-83.87066013139194,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.9801}",30,0,-117.19466172716675,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.9, 'e': 0.970299}",20,0,-218.31529490757254,"{0: 6, 1: 3, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.9, 'e': 0.96059601}",30,0,-76.40778668218975,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.9509900498999999}",30,21,-19.094257693282035,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.9, 'e': 0.941480149401}",25,0,-75.63608397270173,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.9, 'e': 0.9320653479069899}",30,0,-116.0746794291528,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.9227446944279201}",35,0,-129.5837705797502,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.9135172474836408}",20,0,-67.93665514312386,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.9, 'e': 0.9043820750088044}",35,0,-153.17634069371863,"{0: 21, 1: 4, 2: 6, 3: 3, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.8953382542587164}",25,3,-160.87034076445096,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 2}",1
13,False,"{'a': 0.9, 'e': 0.8863848717161292}",20,0,-23.22381326183722,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.8775210229989678}",25,0,-181.0687190689873,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.9, 'e': 0.8687458127689782}",20,0,-64.27113823751543,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.8600583546412884}",25,0,-110.52938115907428,"{0: 15, 1: 5, 2: 0, 3: 5, 4: 0}",0
17,False,"{'a': 0.9, 'e': 0.8514577710948755}",20,0,6.43797456893282,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.9, 'e': 0.8429431933839268}",30,0,-38.17912744247947,"{0: 22, 1: 5, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.9, 'e': 0.8345137614500875}",20,0,-122.60282239919064,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.9, 'e': 0.8261686238355866}",30,0,-91.32317314511458,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
21,False,"{'a': 0.9, 'e': 0.8179069375972308}",30,0,-120.7543438306851,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
