trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,5,-32.70937195981338,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.93840702753653,"{0: 10, 1: 5, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.44406631713767,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.29395870983168,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,5,-187.89326923622752,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.14704191711523,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.78984505122824,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.1667842420974,"{0: 8, 1: 1, 2: 10, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.9582887516569,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.96471858996638,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.99036549467945,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-221.30946759656274,"{0: 10, 1: 5, 2: 5, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.35629053858753,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.7550674206982,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.82654616537391,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.98674230426398,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.09041451446714,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.192118000252254,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-50.52333075199675,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.80693162269633,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-312.14137716965337,"{0: 14, 1: 3, 2: 5, 3: 3, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-157.4294866679338,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.59849017017277,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-93.67780242742491,"{0: 24, 1: 4, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.55020115289781,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,13,-68.16042029144403,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.93094267951739,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-190.19557202134115,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-151.25596460293468,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.24942063675023,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
